elevation,summer.temp,location,site,abundance
High,10.21,East River,ER1,1
High,11.26,East River,ER10,0
High,10.48,East River,ER11,0
High,8.85,East River,ER12,0
High,8.85,East River,ER13,4
High,10.21,East River,ER2,2
High,10.21,East River,ER3,0
High,9.68,East River,ER4,3
High,9.68,East River,ER5,0
High,9.68,East River,ER6,0
High,10.21,East River,ER7,1
High,10.21,East River,ER8,0
High,9.98,East River,ER9,1
High,10.18,Slate River,SR1,79
High,10.16,Slate River,SR10,1
High,10.18,Slate River,SR2,24
High,10.18,Slate River,SR3,27
High,10.16,Slate River,SR4,12
High,10.16,Slate River,SR5,7
High,10.16,Slate River,SR6,7
High,10.16,Slate River,SR7,26
High,10.16,Slate River,SR8,1
High,10.16,Slate River,SR9,0
High,11.21,Washington Gulch,WG1,8
High,10.18,Washington Gulch,WG10,1
High,11.21,Washington Gulch,WG2,4
High,10.18,Washington Gulch,WG3,54
High,10.18,Washington Gulch,WG4,2
High,10.18,Washington Gulch,WG5,34
High,10.18,Washington Gulch,WG6,0
High,10.18,Washington Gulch,WG7,2
High,10.18,Washington Gulch,WG8,7
High,10.18,Washington Gulch,WG9,7
Low,11.8,Cement Creek,CC1,1
Low,11.66,Cement Creek,CC10,2
Low,11.8,Cement Creek,CC2,0
Low,11.8,Cement Creek,CC3,4
Low,11.66,Cement Creek,CC4,7
Low,11.66,Cement Creek,CC5,17
Low,11.66,Cement Creek,CC6,6
Low,11.66,Cement Creek,CC7,0
Low,11.66,Cement Creek,CC8,12
Low,11.66,Cement Creek,CC9,5
Low,12.15,Spring Creek,SC1,2
Low,11.03,Spring Creek,SC10,5
Low,12.15,Spring Creek,SC2,15
Low,12.15,Spring Creek,SC3,42
Low,12.15,Spring Creek,SC4,13
Low,12.15,Spring Creek,SC5,7
Low,11.03,Spring Creek,SC6,3
Low,11.03,Spring Creek,SC7,34
Low,11.03,Spring Creek,SC8,8
Low,11.03,Spring Creek,SC9,10
Low,12.31,Taylor River,TR1,0
Low,11.66,Taylor River,TR10,1
Low,12.31,Taylor River,TR2,16
Low,12.15,Taylor River,TR3,0
Low,12.15,Taylor River,TR4,1
Low,12.15,Taylor River,TR5,9
Low,12.15,Taylor River,TR6,5
Low,12.15,Taylor River,TR7,35
Low,11.66,Taylor River,TR8,9
Low,11.66,Taylor River,TR9,2
