"pres","min.temp","drought","gdd"
0,0.895666667,0.423066161,2076.156458
0,1.0935,0.313582918,2507.648931
1,-0.0115,0.365970003,1684.355614
1,1.766,0.697676698,2766.371602
0,0.652666667,0.3048073,2229.739534
1,0.074,0.175155535,2098.966459
1,-0.2935,0.099119596,2007.382655
1,0.255166667,0.310369612,2386.109164
0,1.020666667,0.514344465,2590.107141
0,1.498833333,0.794422654,2802.683606
1,0.631,0.380432913,2165.932283
1,1.347666667,0.470332122,2806.475405
1,0.402166667,0.185005733,2284.78264
0,0.198333333,0.174832208,2461.290273
1,0.116,0.38198242,2385.57218
0,0.316333333,0.593023374,2347.824935
1,1.091833333,0.772963657,2504.524099
1,0.877,0.738181082,2887.198426
1,0.889333333,0.750298563,2839.144506
1,0.8155,0.395837862,2566.267631
0,0.315,0.479169119,2330.66231
0,1.0745,0.401039603,2654.003773
1,0.353333333,0.302619415,2450.464844
0,-0.085666667,0.635137728,2299.913721
1,-0.463166667,0.553979252,2125.503556
0,0.179333333,0.585517417,2277.348635
1,3.196833333,1.03721865,3815.959756
1,0.7265,0.526391327,2779.6945
1,1.471333333,0.521046279,2970.724568
0,0.123833333,0.512926616,2177.321689
1,0.951333333,0.513447809,2974.643533
1,0.294333333,0.449412712,2436.199636
0,0.9415,0.478151714,2876.083747
1,-0.7585,0.153125968,1938.72583
1,-0.403,0.208132636,2171.136128
1,0.090833333,0.312237876,2444.859987
1,-0.075333333,0.379962157,2172.287702
1,0.539833333,0.525373197,2184.626353
1,0.098833333,0.671438432,2361.293493
0,-0.368333333,0.608295975,2122.079505
0,0.414333333,0.737993261,2299.484893
0,3.005833333,1.259064445,3862.807012
0,0.7885,0.246836124,2411.358233
1,1.471666667,0.568276132,3068.698246
1,-0.041,0.392040472,2395.255325
1,-1.232833333,0.272032491,1799.650241
1,-0.562833333,0.369522408,2188.438491
1,0.612333333,0.417117511,2649.59281
1,-0.655833333,0.143675753,2050.517793
1,0.621,0.278054888,2827.235275
1,0.381833333,0.578145624,2183.093615
0,2.544,1.182574755,3696.375558
1,0.837,0.536398995,2384.694716
1,1.102833333,0.431777697,2788.423072
1,-0.371333333,0.2716089,2193.717698
1,-0.915666667,0.168489252,2084.054651
1,-0.492333333,0.330383549,2430.304531
0,-0.587,0.281768357,2215.819954
1,-0.3465,0.26679204,2234.460892
0,0.000833333,0.331375467,2420.759709
1,2.353,1.167234665,3651.433472
0,2.724166667,1.364677141,3671.750876
1,1.701833333,0.971660767,3376.376229
0,2.1845,1.162607259,3571.988409
0,3.041666667,1.404485264,3943.485501
1,0.617333333,0.607544854,2623.471331
1,0.1795,0.337097954,2329.579193
1,0.079333333,0.571545517,2292.488002
1,0.509,0.720492509,2544.084819
1,0.4865,0.615463277,2574.979099
0,0.649,0.522446689,2920.009769
0,-0.5625,0.315834178,2253.726011
1,-0.963833333,0.22827472,2130.047164
1,-0.160666667,0.298011754,2801.551965
1,-0.3425,0.233745465,2346.516872
1,-0.721333333,0.292603199,2023.281953
1,0.001166667,0.24271996,2390.629961
1,0.328333333,0.376524911,2581.839263
0,0.057666667,0.328863287,2286.410551
1,0.338833333,0.367591655,2289.663367
0,0.3475,0.341939248,2171.926831
0,2.092,1.306721915,3513.294212
0,1.625666667,1.227318255,3433.314611
0,2.849,1.365515776,3911.971906
1,1.8745,1.385572809,3685.827452
0,2.036666667,1.347147724,3683.325754
1,2.621,1.476374832,3863.859427
1,-0.207166667,0.486011173,2610.605027
1,-0.864166667,0.246693895,2022.17088
1,-0.558333333,0.295920443,2248.257199
1,0.022666667,0.489484776,2755.286451
1,-0.163166667,0.418897813,2520.395657
1,0.000166667,0.295175683,2501.556536
1,0.7085,0.431119101,2916.176718
1,-0.897666667,0.159861227,2101.59626
1,-0.642833333,0.213662904,2539.065048
0,-0.709833333,0.174455315,2510.789154
1,-1.5595,0.133192804,1893.675959
1,-2.031166667,0.163792283,1663.443388
1,-1.3455,0.111491594,1918.979559
1,-0.678833333,0.266220939,2252.248378
0,-0.263,0.369150383,2330.7269
1,-0.197166667,0.494885386,2411.747067
1,-1.030333333,0.113704583,1922.007496
1,-0.2715,0.291923328,2480.907966
1,-0.341666667,0.28010856,2061.856028
0,0.237166667,0.392704404,2469.629578
1,0.776833333,0.354468514,2652.455965
0,1.385333333,0.488064149,2902.316099
0,1.594833333,1.262086578,3466.234175
1,0.887333333,1.093812359,3336.356642
1,0.443666667,0.912467655,3115.690689
1,1.092333333,0.997704055,3158.103512
0,1.949166667,1.313031613,3651.530503
0,1.31,1.119683654,3477.596384
1,1.561166667,1.116788773,3460.661651
1,0.767833333,0.783768367,2694.682221
1,0.011666667,0.643821333,2505.020802
0,0.070833333,0.273257213,2293.1577
1,0.122166667,0.493561874,2603.562562
1,0.057833333,0.467879557,2757.175332
1,-0.617833333,0.275226702,2414.098645
1,2.5255,1.279380887,3838.984171
1,-1.123833333,0.225662336,2194.250799
1,-1.468666667,0.165229167,2049.922248
1,-0.7445,0.246088687,2308.015707
1,-0.220833333,0.461326611,2404.444948
1,0.487833333,0.471607102,2833.892815
1,-1.368333333,0.12882512,1914.436768
0,-1.130333333,0.145078657,2336.376921
1,-2.344,0.124867381,1659.198851
1,-2.229333333,0.097207763,1738.351055
1,-1.300166667,0.156601546,2321.458386
1,-2.890333333,0.162217837,1373.180674
1,-1.394166667,0.304516351,2029.113448
1,-1.171,0.331154672,2164.816885
1,-1.691,0.211439123,1958.619203
1,-2.562833333,0.15311741,1454.03936
1,-1.2685,0.132706865,1985.940287
1,-0.240833333,0.363168664,2480.661372
1,0.142666667,0.395647379,2386.573637
1,0.964833333,1.109992663,3406.411194
1,0.382333333,1.044469437,3253.918242
1,-0.036166667,0.793603722,2945.918022
1,0.454666667,0.678017943,2873.946585
1,1.617,0.966675739,3541.214378
1,0.548,0.935710661,2624.855188
1,0.385833333,0.734094069,2670.939494
1,1.242333333,0.904712719,3528.136362
1,0.6995,0.636072386,2848.842876
1,-0.4195,0.427070439,2468.224103
1,-0.679166667,0.297515802,2345.035718
1,-1.100333333,0.284528738,2164.502902
1,1.676,1.173485775,3667.409572
1,-1.0265,0.181132861,2305.580907
1,-1.622666667,0.18053543,1993.54469
1,-1.098833333,0.227587018,2377.19745
1,-1.483166667,0.309790789,2084.122267
1,-1.723,0.161519047,1826.675591
1,-2.151333333,0.209133014,1480.55128
1,-0.399166667,0.25859283,2652.897274
1,-1.398,0.273837314,2063.168404
0,-1.709666667,0.219416613,1958.852368
1,-1.442,0.20718052,2291.775366
1,2.411333333,1.191081805,3842.530966
1,-1.923,0.17651003,2100.745216
1,-2.202166667,0.176368667,1990.009102
1,-2.1485,0.211298687,1995.075898
1,-3.347,0.169539236,1368.497962
1,-1.831666667,0.207145708,2096.495486
1,-1.726666667,0.180450063,2131.131559
1,-1.603833333,0.29509415,2160.357402
1,-2.268,0.249498068,1587.075877
1,-0.8535,0.295241729,2143.604783
0,0.754166667,0.624518781,2888.124082
1,1.099666667,0.760056965,2725.682128
1,0.925166667,1.032146425,3275.046809
1,0.124166667,0.913052536,3056.949867
1,-0.069833333,0.737999641,2939.948497
1,0.031833333,0.542433159,2771.582803
1,1.187333333,1.178725552,3149.162987
1,1.5675,1.281794078,3595.483883
0,0.365166667,0.896158343,2875.71603
1,-0.840333333,0.724703627,2338.973493
1,-1.0195,0.362176221,2080.411981
1,0.174,0.672024243,2627.28666
1,0.662333333,0.944433605,3261.573638
1,-1.128,0.290513214,1985.356233
1,-1.7765,0.205876937,1900.654421
1,-1.491166667,0.192832835,2103.016089
1,0.225666667,0.70019313,2920.087301
1,-1.064,0.327064422,2411.502007
1,-1.385,0.245145738,2162.987068
1,-1.249666667,0.195129611,2401.019045
0,-3.243,0.064417408,1325.582457
1,-2.915,0.163950494,1512.267606
1,-2.286,0.225305592,1779.553135
1,-2.622833333,0.242383447,1429.08336
1,-0.5885,0.490062942,2750.726505
1,-1.381833333,0.324918484,2186.0139
0,-2.072666667,0.345120581,1825.652886
1,0.6405,0.569405779,2917.52711
0,-2.941,0.346310183,1606.643836
1,-3.431666667,0.283330296,1507.413798
1,-4.111666667,0.262774397,1231.650263
1,-3.457666667,0.246775316,1506.562367
0,-2.959333333,0.227732115,1632.374004
1,-2.531,0.304679598,1825.201267
1,-2.383666667,0.302752025,1793.475592
1,-2.219666667,0.293904976,1798.054297
1,-1.540833333,0.408348834,1964.766769
1,-0.408833333,0.681959392,2469.943961
1,1.509,0.867156483,3263.789301
1,-0.429833333,0.409130504,2250.660732
1,-0.259,0.45920754,2411.778502
1,-0.264,0.480046202,2296.004732
1,0.123,0.501183609,2439.726765
1,1.5295,1.334103608,3546.715168
1,1.624666667,1.136500748,3338.350904
1,0.259333333,0.955129918,3111.497565
1,-0.166833333,0.723576071,2908.064542
1,0.1385,0.633221952,3027.698104
1,0.7155,1.220577277,3151.807952
0,1.552833333,1.036316338,3348.539604
1,1.706333333,1.181070515,3580.320595
1,0.095166667,0.880680708,2702.488323
1,-1.095,0.561364782,2324.966908
0,-1.328,0.453005339,2268.756349
1,-0.84,0.592182455,2523.191023
1,-0.423,0.630570776,2409.833091
1,0.5005,0.906927253,3180.905666
1,0.419333333,0.958805194,2803.234838
1,0.751333333,0.763304863,2878.535485
1,-0.254666667,0.483784785,2337.083813
1,-0.3335,0.418058551,2314.158297
1,-0.2725,0.42375645,2619.639625
1,-0.895666667,0.297827788,2287.292441
1,-0.094833333,0.593878304,2759.227429
1,-1.828333333,0.187677842,1910.398215
1,-2.110666667,0.16523957,1892.21938
1,-2.120666667,0.147592479,1934.027872
1,-2.430833333,0.218131216,1918.542564
1,-2.984166667,0.171171961,1588.861894
1,-2.315666667,0.188312347,1969.610132
1,-3.312333333,0.168810669,1429.227644
1,-2.2565,0.204701563,1781.695426
1,-1.3925,0.666884137,2419.727393
0,-2.930333333,0.350189781,1433.139088
1,0.2815,0.701449747,3068.416868
1,-2.354333333,0.558563823,1866.741594
1,-2.774333333,0.60062541,1801.235369
1,-3.754666667,0.616512833,1494.441759
1,-3.024666667,0.499470106,1867.697558
1,-3.746166667,0.489284635,1416.598659
1,-2.798333333,0.617014679,1847.738204
1,-2.848333333,0.520339396,1787.824464
1,-3.441666667,0.329840923,1413.054536
1,-2.921666667,0.471169115,1543.220722
1,-2.096333333,0.336433657,1824.192556
1,1.014166667,1.020992684,3366.297835
1,-1.497,0.272554025,2071.801031
1,-1.501,0.288926591,2028.873802
1,-1.876166667,0.212777754,1783.876651
1,-0.934166667,0.279535032,2198.821142
1,-0.295166667,0.416333454,2320.773828
1,0.090666667,0.632107303,2293.801353
1,0.750166667,0.594075001,2281.553949
1,0.325166667,0.936843335,3167.721773
1,0.4675,0.751335317,3097.874931
1,0.285333333,1.029353227,3269.209512
1,-0.443833333,0.704842975,2832.087603
1,-0.550333333,0.637296046,2634.017289
1,0.1605,1.068661623,2993.603822
0,0.605666667,1.026368273,2851.825616
1,1.174666667,0.954931605,3314.417567
1,1.6165,1.469066627,3473.310581
0,1.465166667,1.276358054,3354.913652
1,1.948833333,1.311192274,3691.77216
1,0.509833333,1.072857624,2841.916325
0,-0.397833333,0.775252727,2638.507737
1,-0.7505,0.690909029,2654.298419
1,-1.2055,0.584608118,2450.95747
1,-1.616,0.407238545,2203.414636
1,-1.811166667,0.341771685,2003.823508
1,0.892833333,0.999063857,3377.840345
1,-0.9965,0.781980541,2494.405651
1,-0.121,0.883615714,2757.995772
1,0.291,1.126697305,2945.363464
0,0.222333333,1.012692627,2914.010213
1,-0.362666667,0.73919855,2751.347623
1,-0.9585,0.456219741,2597.161652
1,-1.161666667,0.28551285,2310.4305
1,-0.556,0.515149568,2602.786947
1,-1.197333333,0.516848485,2211.363129
1,-1.190166667,0.275877967,2119.615661
1,0.672333333,1.033163622,3338.755672
1,-0.915166667,0.270951206,2493.679305
1,-0.970833333,0.201887603,2586.587527
1,-2.187833333,0.177644954,1991.89099
1,-3.38,0.187837407,1410.768729
1,-2.599833333,0.293742401,1809.616654
1,-2.578333333,0.316674937,1873.68532
0,-2.905666667,0.298564716,1682.986243
1,-2.856666667,0.370787638,1701.498701
0,-3.223166667,0.614113044,1498.930039
1,-2.617,0.449756183,1650.467843
1,0.699833333,1.152010135,3379.615957
1,-1.801833333,0.787366477,2147.44974
1,-2.581666667,0.756852727,1789.052226
1,-3.164833333,0.829964046,1753.656774
1,-3.162666667,1.028589194,1930.46965
1,-3.5045,0.556007322,1631.561134
1,-3.527,0.750638089,1574.30598
0,-2.715,0.884262902,1969.259987
1,-3.483166667,0.603636029,1585.277219
1,-3.3225,0.275329147,1535.676258
1,-2.218833333,0.438603188,2078.94156
1,0.6,1.082609664,3336.521927
1,-1.882,0.420639472,2230.691058
1,-2.748833333,0.18987604,1678.992348
1,-2.829166667,0.07598392,1605.989492
1,-1.772,0.191221072,2138.937262
1,-1.996166667,0.270901251,1810.928298
1,-1.6965,0.231660471,1719.427088
1,-0.273,0.322498384,2036.411086
1,0.331833333,0.948313179,3193.007096
1,0.464333333,0.918869225,3193.659826
1,1.564,1.198285914,3584.780185
1,1.456666667,1.085357358,3463.957595
1,0.677833333,1.030215855,3332.625735
1,0.037333333,0.873277842,3194.005086
1,-0.399333333,0.740306852,2986.83064
1,-0.541666667,0.659544712,2757.349734
1,-0.413833333,0.88045566,2810.296787
0,0.251833333,0.821417079,2834.563965
1,0.4445,0.517508034,2550.362801
